[mock] listening 127.0.0.1:8080
[mock] tools=10 last_role=user nToolMsgs=0
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
[mock] tools=10 last_role=tool nToolMsgs=1
